T_air,wind_speed,rel_humidity,G_sol,abs_humidity,air_pressure,
-0.5,0.3,0.95,0,4.2,990,
-0.3,0.4,0.97,0,4.1,990,
-0.5,0.5,0.98,0,4,989,
-0.4,0.5,0.98,0,4,990,
-0.9,0.6,0.98,0,4,990,
-1.1,0.4,0.98,0,4,990,
-1,0.8,0.97,0,4,990,
-1.3,0.9,0.96,0,4,990,
-1.5,0.9,0.99,11.51,4,990,
-1.3,0.1,0.99,51.49,4.1,991,
-0.9,0.3,0.99,146.95,4.3,991,
0.2,0.2,0.97,160.86,4.4,991,
2.6,0.5,0.96,206.9,4.4,991,
4.4,0.6,0.94,198.66,4.4,991,
5.1,1.1,0.93,144.52,4.4,990,
5.4,0.9,0.93,71.15,4.3,990,
5.3,0.5,0.92,16.08,4.1,991,
4.3,0.8,0.92,0,4.1,991,
3.6,0.8,0.92,0,4,991,
3.3,0.7,0.93,0,4,992,
1.5,1.1,0.94,0,3.9,992,
1,1.3,0.94,0,3.9,992,
0.9,1.2,0.93,0,3.8,992,
2.1,0.9,0.91,0,3.8,992,
4.4,1.1,0.91,0,3.8,992,
5.2,1.1,0.92,0,3.9,992,
5.5,1.5,0.93,0,3.9,993,
5.8,2,0.92,0,3.9,993,
6.6,1.9,0.92,0,3.9,993,
6.7,1.5,0.93,0,3.9,994,
5.6,1.6,0.93,0,3.9,994,
5.7,2,0.93,0,3.8,995,
5.8,1.7,0.92,8.02,3.8,995,
5.9,1.7,0.92,20.83,3.9,996,
6.3,2,0.92,32.33,3.9,997,
7.2,1.7,0.9,37.89,3.9,998,
7.8,2.1,0.87,89.23,3.9,999,
8,2.1,0.84,165.49,3.8,999,
8.7,1.7,0.84,106.18,3.8,1000,
8,1.2,0.86,67.62,3.7,1000,
7.4,1.1,0.88,18.16,3.5,1001,
6.7,1.3,0.9,0,3.3,1002,
6.2,1.2,0.92,0,3.3,1003,
5.5,0.8,0.95,0,3.3,1004,
4.7,0.5,0.97,0,3.2,1005,
3.9,0.7,0.97,0,3.3,1006,
3.8,0.6,0.98,0,3.4,1007,
3.5,0.5,0.98,0,3.5,1007,
3.4,0.1,0.98,0,3.5,1008,
3.3,0.1,0.98,0,3.6,1008,
3.4,0,0.98,0,3.6,1009,
3.3,0.1,0.98,0,3.6,1009,
3.1,0.1,0.99,0,3.6,1009,
3.4,0.1,0.98,0,3.6,1010,
3.6,0.1,0.98,0,3.6,1010,
3.8,0.1,0.98,0,3.6,1011,
3.9,0.7,1,0,3.6,1011,
4,0.4,1,22.59,3.7,1011,
4.4,0.1,0.99,37.01,3.7,1012,
4.2,0.3,0.97,31.31,3.8,1012,
3.7,0.4,0.96,35.21,3.8,1012,
2.8,0.3,0.95,47.45,3.8,1012,
2.6,0.3,0.94,41.69,3.8,1012,
2.6,0.7,0.92,35.33,3.7,1012,
2.5,1.7,0.91,10.53,3.7,1012,
2.5,1.3,0.93,0,3.8,1012,
2.3,1.5,0.94,0,3.8,1012,
1.8,0.9,0.95,0,3.8,1012,
1,0.8,0.95,7.13,3.8,1013,
0.7,1,0.96,0,3.8,1013,
1.4,1.1,0.95,0,3.9,1013,
2.3,1.4,0.94,0,3.9,1013,
2.7,2,0.94,0,3.8,1013,
3.1,1.7,0.94,0,3.7,1012,
3.3,1.3,0.93,0,3.5,1011,
3,1.2,0.95,0,3.3,1011,
2.1,1.6,0.98,0,3.4,1011,
1.9,2.6,0.98,0,3.5,1010,
0.6,2.7,0.96,0,3.4,1009,
-0.3,2.6,0.93,0,3.4,1009,
-0.6,2.4,0.94,9.26,3.4,1009,
-0.6,2.3,0.94,51.5,3.5,1008,
-0.1,2.6,0.91,123.21,3.5,1008,
1.9,2.8,0.83,187.17,3.5,1008,
3.7,2.9,0.77,215.18,3.3,1007,
4.9,2.7,0.74,191.19,3.2,1006,
5.5,3.5,0.71,131.94,3,1005,
5.4,2.7,0.73,76.79,3,1004,
5,2.6,0.77,16.83,3,1004,
